Sales ID,Count,Open Date,Days to Make Sale,Car ID,Dealer ID,Temperature (F),Temperature Category,Weather Condition,Humidity (%),Wind Speed (mph),Wind Gust (mph),Wind Direction,Visibility (mi),Wind Chill (F),Precipitation (in),Fog (Y/N),Rain (Y/N),Snow (Y/N),Month,Month Order,Year
546466,1,1-Jan-2022,2,99110,1401,21.9,21-30,Scattered Clouds,51,10.4,,SW,10,11,0,N,N,N,Jan,1,2022
546467,1,1-Jan-2022,1,99110,1401,21.9,21-30,Scattered Clouds,51,10.4,,SW,10,11,0,N,N,N,Jan,1,2022
546468,1,1-Jan-2022,1,132120,1224,21.9,21-30,Overcast,51,10.4,,SW,10,11,0,N,N,N,Jan,1,2022
546469,1,1-Jan-2022,1,132120,1224,21.9,21-30,Overcast,51,11.5,,SW,10,10.4,0,N,N,N,Jan,1,2022
546470,1,1-Jan-2022,1,99110,1288,19,11-20,Clear,54,12.7,,WSW,7,6.1,0,N,N,N,Jan,1,2022
546471,1,1-Jan-2022,1,26151,1224,24.1,21-30,Overcast,46,12.7,,WSW,10,12.5,0,N,N,N,Jan,1,2022
546472,1,1-Jan-2022,1,99110,1215,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546473,1,1-Jan-2022,1,132120,1301,21.9,21-30,Clear,53,12.7,,SW,10,9.8,0,N,N,N,Jan,1,2022
546474,1,1-Jan-2022,1,87110,1288,21.9,21-30,Clear,53,12.7,,SW,10,9.8,0,N,N,N,Jan,1,2022
546475,1,1-Jan-2022,1,132120,1222,25,21-30,Clear,45,16.1,,WSW,10,12.2,0,N,N,N,Jan,1,2022
546476,1,1-Jan-2022,1,26151,1288,21,21-30,Clear,48,15,24.2,WSW,7,7.6,0,N,N,N,Jan,1,2022
546477,1,1-Jan-2022,1,132120,1215,25,21-30,Clear,45,16.1,,WSW,10,12.2,0,N,N,N,Jan,1,2022
546478,1,1-Jan-2022,4,99110,1215,25,21-30,Clear,45,16.1,,WSW,10,12.2,0,N,N,N,Jan,1,2022
546479,1,1-Jan-2022,1,99110,1215,28,21-30,Clear,39,13.8,23,SW,10,17,0,N,N,N,Jan,1,2022
546480,1,1-Jan-2022,1,99110,1402,28,21-30,Clear,39,13.8,23,SW,10,17,0,N,N,N,Jan,1,2022
546481,1,1-Jan-2022,1,99110,1401,28,21-30,Clear,39,13.8,23,SW,10,17,0,N,N,N,Jan,1,2022
546482,1,1-Jan-2022,1,99110,1401,28,21-30,Clear,39,13.8,23,SW,10,17,0,N,N,N,Jan,1,2022
546483,1,1-Jan-2022,4,87110,1212,28,21-30,Clear,39,13.8,23,SW,10,17,0,N,N,N,Jan,1,2022
546484,1,1-Jan-2022,4,132120,1402,30.9,31-40,Scattered Clouds,35,17.3,24.2,WSW,10,19.4,0,N,N,N,Jan,1,2022
546485,1,1-Jan-2022,5,99110,1288,28,21-30,Clear,36,12.7,28.8,SW,7,17.5,0,N,N,N,Jan,1,2022
546486,1,1-Jan-2022,1,99110,1402,30.9,31-40,Scattered Clouds,35,17.3,24.2,WSW,10,19.4,0,N,N,N,Jan,1,2022
546487,1,1-Jan-2022,5,147160,1224,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546488,1,1-Jan-2022,7,99110,1336,30.9,31-40,Scattered Clouds,35,17.3,24.2,WSW,10,19.4,0,N,N,N,Jan,1,2022
546489,1,1-Jan-2022,1,99110,1222,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546490,1,1-Jan-2022,5,87110,1288,28,21-30,Clear,36,12.7,28.8,SW,7,17.5,0,N,N,N,Jan,1,2022
546491,1,1-Jan-2022,1,132120,1288,28.9,21-30,Clear,36,17.3,26.5,SW,7,16.9,0,N,N,N,Jan,1,2022
546492,1,1-Jan-2022,8,99110,1288,28.9,21-30,Clear,36,17.3,26.5,SW,7,16.9,0,N,N,N,Jan,1,2022
546493,1,1-Jan-2022,1,99110,1401,32,31-40,Scattered Clouds,34,16.1,24.2,SW,10,21.2,0,N,N,N,Jan,1,2022
